Accident,Level,Parent,Code
Abandonment(causing exposure to weather conditions) (with intent to injure or kill) NEC,0,,X58,,,,,
Abuse(adult) (child) (mental) (physical) (sexual),0,,X58,,,,,
Accident(to),0,,X58,,,,,
aircraft(in transit) (powered),1,Accident(to),,,,,,
"due to, caused by cataclysm",2,aircraft(in transit) (powered),,,,,,
animal-rider,1,Accident(to),,,,,,
animal-drawn vehicle,1,Accident(to),,,,,,
automobile,1,Accident(to),,,,,,
bare foot water skiier,1,Accident(to),V94.4,,,,,
"boat, boating",1,Accident(to),,,,,,
striking swimmer,2,"boat, boating",,,,,,
powered,3,striking swimmer,V94.11,,,,,
unpowered,3,striking swimmer,V94.12,,,,,
bus,1,Accident(to),,,,,,
"cable car, not on rails",1,Accident(to),V98.0,,,,,
on rails,2,"cable car, not on rails",,,,,,
car,1,Accident(to),,,,,,
"caused by, due to",1,Accident(to),,,,,,
animal NEC,2,"caused by, due to",W64,,,,,
chain hoist,2,"caused by, due to",W24.0,,,,,
cold(excessive),2,"caused by, due to",,,,,,
"corrosive liquid, substance",2,"caused by, due to",,,,,,
cutting or piercing instrument,2,"caused by, due to",,,,,,
drive belt,2,"caused by, due to",W24.0,,,,,
electric,2,"caused by, due to",,,,,,
current,3,electric,,,,,,
motor,3,electric,W31.3,,,,,
current(of),4,motor,W86.8,,,,,
environmental factor NEC,2,"caused by, due to",X58,,,,,
explosive material,2,"caused by, due to",,,,,,
"fire, flames",2,"caused by, due to",,,,,,
firearm missile,2,"caused by, due to",,,,,,
heat(excessive),2,"caused by, due to",,,,,,
hot,2,"caused by, due to",,,,,,
ignition,2,"caused by, due to",,,,,,
lifting device,2,"caused by, due to",W24.0,,,,,
lightning,2,"caused by, due to",,,,,,
causing fire,3,lightning,,,,,,
"machine, machinery",2,"caused by, due to",,,,,,
natural factor NEC,2,"caused by, due to",X58,,,,,
pulley(block),2,"caused by, due to",W24.0,,,,,
radiation,2,"caused by, due to",,,,,,
steam,2,"caused by, due to",X13.1,,,,,
inhalation,3,steam,X13.0,,,,,
pipe,3,steam,X16,,,,,
thunderbolt,2,"caused by, due to",,,,,,
causing fire,3,thunderbolt,,,,,,
transmission device,2,"caused by, due to",W24.1,,,,,
coach,1,Accident(to),,,,,,
coal car,1,Accident(to),,,,,,
diving,1,Accident(to),,,,,,
with,2,diving,,,,,,
drowning or submersion,3,with,,,,,,
forklift,1,Accident(to),,,,,,
heavy transport vehicle NOS,1,Accident(to),,,,,,
