Neoplasm,Level,Parent,Malignant Primary,Malignant Secondary,Ca in situ,Benign,Uncertain Behavior,Unspecified Behavior
"Neoplasm, neoplastic",0,,C80.1,C79.9,D09.9,D36.9,D48.9,D49.9
"abdomen, abdominal",1,Neoplasm, neoplastic,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
cavity,2,abdomen, abdominal,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
organ,2,abdomen, abdominal,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
viscera,2,abdomen, abdominal,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
wall,2,abdomen, abdominal,C44.509,C79.2-,D04.5,D23.5,D48.5,D49.2
connective tissue,3,wall,C49.4,C79.8-,,D21.4,D48.1,D49.2
skin,3,wall,C44.509,,,,,
basal cell carcinoma,4,skin,C44.519,,,,,
specified type NEC,4,skin,C44.599,,,,,
squamous cell carcinoma,4,skin,C44.529,,,,,
abdominopelvic,1,Neoplasm, neoplastic,C76.8,C79.8-,,D36.7,D48.7,D49.89
accessory sinus,1,Neoplasm, neoplastic,,,,,,
acoustic nerve,1,Neoplasm, neoplastic,C72.4-,C79.49,,D33.3,D43.3,D49.7
adenoid(pharynx) (tissue),1,Neoplasm, neoplastic,C11.1,C79.89,D00.08,D10.6,D37.05,D49.0
adipose tissue,1,Neoplasm, neoplastic,C49.4,C79.89,,D21.9,D48.1,D49.2
adnexa(uterine),1,Neoplasm, neoplastic,C57.4,C79.89,D07.39,D28.7,D39.8,D49.59
adrenal,1,Neoplasm, neoplastic,C74.9-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
capsule,2,adrenal,C74.9-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
cortex,2,adrenal,C74.0-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
gland,2,adrenal,C74.9-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
medulla,2,adrenal,C74.1-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
ala nasi(external),1,Neoplasm, neoplastic,C44.301,C79.2,D04.39,D23.39,D48.5,D49.2
alimentary canal or tract NEC,1,Neoplasm, neoplastic,C26.9,C78.80,D01.9,D13.9,D37.9,D49.0
alveolar,1,Neoplasm, neoplastic,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
mucosa,2,alveolar,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,3,mucosa,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
upper,3,mucosa,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
ridge or process,2,alveolar,C41.1,C79.51,,D16.5-,D48.0,D49.2
carcinoma,3,ridge or process,C03.9,C79.8-,,,,
lower,4,carcinoma,C03.1,C79.8-,,,,
upper,4,carcinoma,C03.0,C79.8-,,,,
lower,3,ridge or process,C41.1,C79.51,,D16.5-,D48.0,D49.2
mucosa,3,ridge or process,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,4,mucosa,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
upper,4,mucosa,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
upper,3,ridge or process,C41.0,C79.51,,D16.4-,D48.0,D49.2
sulcus,2,alveolar,C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
alveolus,1,Neoplasm, neoplastic,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,2,alveolus,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
