Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
1-propanol,0,,T51.3X1,T51.3X2,T51.3X3,T51.3X4,,
2-propanol,0,,T51.2X1,T51.2X2,T51.2X3,T51.2X4,,
"2,4-D(dichlorophen-oxyacetic acid)",0,,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
"2,4-toluene diisocyanate",0,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
"2,4,5-T(trichloro-phenoxyacetic acid)",0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
"3,4-methylenedioxymethamphetamine",0,,T43.641,T43.642,T43.643,T43.644,,
14-hydroxydihydro-morphinone,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
ABOB,0,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Abrine,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Abrus(seed),0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Absinthe,0,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
beverage,1,Absinthe,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
Acaricide,0,,T60.8X1,T60.8X2,T60.8X3,T60.8X4,,
Acebutolol,0,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
Acecarbromal,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Aceclidine,0,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
Acedapsone,0,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
Acefylline piperazine,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Acemorphan,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Acenocoumarin,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Acenocoumarol,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Acepifylline,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Acepromazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Acesulfamethoxypyridazine,0,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
Acetal,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Acetaldehyde(vapor),0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
liquid,1,Acetaldehyde(vapor),T65.891,T65.892,T65.893,T65.894,,
P-Acetamidophenol,0,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
Acetaminophen,0,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
Acetaminosalol,0,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
Acetanilide,0,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
Acetarsol,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
Acetazolamide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Acetiamine,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Acetic,0,,,,,,,
acid,1,Acetic,T54.2X1,T54.2X2,T54.2X3,T54.2X4,,
with sodium acetate(ointment),2,acid,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
